CalendarYearMonth,Value,District
2003-06,533553,East of England
2003-09,543520,East of England
2003-12,561425,East of England
2004-03,577787,East of England
2004-06,600088,East of England
2004-09,617370,East of England
2004-12,618536,East of England
2005-03,614491,East of England
2005-06,611688,East of England
2005-09,611191,East of England
2005-12,618249,East of England
2006-03,627896,East of England
2006-06,642721,East of England
2006-09,659750,East of England
2006-12,676845,East of England
2007-03,687341,East of England
2007-06,699283,East of England
2007-09,706620,East of England
2007-12,708270,East of England
2008-03,701723,East of England
2008-06,688544,East of England
2008-09,657812,East of England
2008-12,624978,East of England
2009-03,601522,East of England
2009-06,580467,East of England
2009-09,584697,East of England
2009-12,601480,East of England
2010-03,617273,East of England
2010-06,635110,East of England
2010-09,648607,East of England
2010-12,657666,East of England
2011-03,652805,East of England
2011-06,647650,East of England
2011-09,644298,East of England
2011-12,642917,East of England
2012-03,646008,East of England
2012-06,648527,East of England
2012-09,648442,East of England
2012-12,654512,East of England
2013-03,657479,East of England
2013-06,661169,East of England
2013-09,672341,East of England
2013-12,687346,East of England
2014-03,698337,East of England
2014-06,714229,East of England
2014-09,732639,East of England
2014-12,745566,East of England
2015-03,755860,East of England
2015-06,767311,East of England
2015-09,780457,East of England
2015-12,801035,East of England
2016-03,818351,East of England
2016-06,830662,East of England
2016-09,841460,East of England
2016-12,856158,East of England
2017-03,866536,East of England
2017-06,884035,East of England
2017-09,897598,East of England
2017-12,902431,East of England
1995-12,199282,Enfield
1996-03,197632,Enfield
1996-06,202762,Enfield
1996-09,205831,Enfield
1996-12,211490,Enfield
1997-03,218141,Enfield
1997-06,226013,Enfield
1997-09,232755,Enfield
1997-12,238994,Enfield
1998-03,243740,Enfield
1998-06,246112,Enfield
1998-09,252001,Enfield
1998-12,258652,Enfield
1999-03,260899,Enfield
1999-06,266943,Enfield
1999-09,274911,Enfield
1999-12,284512,Enfield
2000-03,294016,Enfield
2000-06,306540,Enfield
2000-09,323246,Enfield
2000-12,334916,Enfield
2001-03,345055,Enfield
2001-06,360073,Enfield
2001-09,376322,Enfield
2001-12,392073,Enfield
2002-03,401473,Enfield
2002-06,413395,Enfield
2002-09,434601,Enfield
2002-12,456582,Enfield
2003-03,482232,Enfield
2003-06,501666,Enfield
2003-09,517092,Enfield
2003-12,532322,Enfield
2004-03,535081,Enfield
2004-06,549502,Enfield
2004-09,560477,Enfield
2004-12,574383,Enfield
2005-03,585664,Enfield
2005-06,593198,Enfield
2005-09,592998,Enfield
2005-12,594033,Enfield
2006-03,596973,Enfield
2006-06,608014,Enfield
2006-09,623813,Enfield
2006-12,630820,Enfield
2007-03,638383,Enfield
2007-06,653208,Enfield
2007-09,670783,Enfield
2007-12,689801,Enfield
2008-03,704185,Enfield
2008-06,706901,Enfield
2008-09,698442,Enfield
2008-12,689312,Enfield
2009-03,674777,Enfield
2009-06,665766,Enfield
2009-09,667521,Enfield
2009-12,674166,Enfield
2010-03,684958,Enfield
2010-06,690676,Enfield
2010-09,703160,Enfield
2010-12,718213,Enfield
2011-03,726306,Enfield
2011-06,718270,Enfield
2011-09,714228,Enfield
2011-12,716569,Enfield
